관광지번호,관광지명,전화번호,소분류,지역코드,주소
L0132,하평해변,NULL,해수욕장,J03,강원 강릉시 사천면 사천진리
L0133,남대천강릉,NULL,강,J03,강원 강릉시 성내동 | 강남동| 성덕동| 포남동 일대
L0134,강릉 대공산성,033-640-5119,성,J03,강원도 강릉시 성산면 보현길 396
L0135,국립 대관령자연휴양림,033-641-9990,자연휴양림,J03,강원 강릉시 성산면 어흘리 삼포암길 133
L0136,대굴령마을,033-648-0406,농.산.어촌 체험,J03,강원도 강릉시 성산면 성연로 17 성산면
L0137,보현사강릉,033-648-9431,사찰,J03,강원도 강릉시 성산면 보현길 396 성산면
L0138,오봉서원,033-640-5581,유적지,J03,강원도 강릉시 성산면 오봉서원길 28-7 성산면
L0139,제왕산/능경봉,033-660-7705,산,J03,강원 강릉시 성산면| 왕산면 왕산리
L0140,송정해변송정해수욕장,NULL,해수욕장,J03,강원 강릉시 송정동
L0141,강릉 경포해변,NULL,해수욕장,J03,강원도 강릉시 안현동 산1| 강문동 산1
L0142,사근진해변사근진해수욕장,NULL,해수욕장,J03,강원 강릉시 안현동
L0143,순긋해변,033-640-5130,해수욕장,J03,강원 강릉시 안현동 235-5
L0144,구룡폭포소금강,033-332-6417,폭포,J03,강원도 강릉시 연곡면 소금강길 500 연곡면
L0145,금강사강릉,033-661-4271,사찰,J03,강원도 강릉시 연곡면 소금강길 670 연곡면
L0146,노인봉,033-332-6417,산,J03,강원 강릉시 연곡면 삼산리| 평창군 도암면 병내리
L0147,백운사강릉,033-661-6222,사찰,J03,강원도 강릉시 연곡면 백운동길 143 연곡면
L0148,부연동마을,033-644-6673,농.산.어촌 체험,J03,강원도 강릉시 연곡면 부연동길 787 연곡면
L0149,소금강 장천마을,033-661-3395,계곡,J03,강원도 강릉시 연곡면 진고개로 1502 연곡면
L0150,소금강장천마을,033-661-3395,농.산.어촌 체험,J03,강원도 강릉시 연곡면 진고개로 1502 연곡면
L0151,연곡 신왕리 마암터마을,033-660-3697,농.산.어촌 체험,J03,강원도 강릉시 연곡면 신왕길 388-1 연곡면
L0152,연곡해변연곡해수욕장,NULL,해수욕장,J03,강원 강릉시 연곡면 동덕리 99-13
L0153,영진항,033-640-4414,항구/포구,J03,강원 강릉시 연곡면 영진1리
L0154,영진해변,NULL,해수욕장,J03,강원 강릉시 연곡면 영진리 72-2
L0155,오대산 소금강계곡,NULL,계곡,J03,강원도 강릉시 연곡면 삼산리
L0156,현덕사강릉,033-661-5878,사찰,J03,강원도 강릉시 연곡면 싸리골길 170 연곡면
L0157,강릉 한울타리마을,033-535-0799,농.산.어촌 체험,J03,강원도 강릉시 옥계면 풍동로 406 옥계면
L0158,금진해변,033-660-3627,해수욕장,J03,강원 강릉시 옥계면 금진리 176-2
L0159,도직해변,033-640-5130,해수욕장,J03,강원 강릉시 옥계면 도직리 97-12
L0160,옥계해변,033-640-5130,해수욕장,J03,강원 강릉시 옥계면 금진리 산 105-10
L0161,강릉 대기리마을,033-647-2540,농.산.어촌 체험,J03,강원도 강릉시 왕산면 용수길 11 왕산면
L0162,강릉 임영관 삼문,033-640-5119,유적지,J03,강원도 강릉시 임영로131번길 6 용강동
L0163,강릉 선교장,NULL,고택,J03,강원도 강릉시 운정길 63 운정동
L0164,강릉 심상진가옥,NULL,고택,J03,강원도 강릉시 운정길 125 운정동
L0165,강릉 해운정,033-640-5119,고택,J03,강원도 강릉시 운정길 125 운정동
L0166,경포도립공원,NULL,도립공원,J03,강원 강릉시 운정동 초당동| 강문동 일원
L0167,황산사,NULL,유적지,J03,강원 강릉시 운정길 21번길 27 운정동
L0168,강릉 경포대,033-640-5420,유적지,J03,NULL
L0169,경포호철새도래지,033-640-5129,호수,J03,강원 강릉시 저동 운정동| 초당동| 강문동경포대 앞
L0170,강릉 복사꽃마을,033-6615-2078,농.산.어촌 체험,J03,강원도 강릉시 주문진읍 신리천로 527-3 주문진읍
L0171,소돌아들바위공원,NULL,공원,J03,강원 강릉시 주문진읍 주문리 일원
L0172,주문리마을 [해양수산부 선정 아름다운 어촌],033-662-2106,어촌,J03,강원 강릉시 주문진읍 주문로 106 일대
L0173,주문진 등대,033-662-2131,등대,J03,강원도 강릉시 주문진읍 옛등대길 24-7 주문진읍
L0174,주문진항,NULL,항구/포구,J03,강원도 강릉시 주문진읍 주문리
L0175,주문진해변,NULL,해수욕장,J03,강원 강릉시 주문진읍 향호리
L0176,오죽헌,NULL,유적지,J03,강원도 강릉시 율곡로3139번길 24 죽헌동
L0177,강릉 이광노가옥,033-640-5119,생가,J03,강원도 강릉시 난설헌로193번길 1-16 초당동
L0178,초당순두부마을,NULL,이색거리,J03,강원도 강릉시 초당순두부길 99 초당동 일대
L0179,솔바람다리,NULL,다리/대교,J03,강원 강릉시 병산동
L0180,임해자연휴양림,033-644-9483,자연휴양림,J03,강원도 강릉시 율곡로 1715-85
L0181,북서울 꿈의숲,2228940015,공원,A01,서울특별시 강북구 월계로 173 번동
L0182,오동근린공원,02-901-6924,공원,A01,서울특별시 강북구 번동 | 미아동 일대
L0183,삼성암서울,NULL,사찰,A01,서울특별시 강북구 인수봉로23길 235 수유동
L0184,화계사서울,02-902-2663,사찰,A01,서울특별시 강북구 화계사길 117 수유동
L0185,백련사서울,02-990-7058,사찰,A01,서울특별시 강북구 4.19로20길 142 수유동
L0186,본원정사서울,NULL,사찰,A01,서울특별시 강북구 삼각산로 1 수유동
L0187,도선사서울,02-993-3161,사찰,A01,서울특별시 강북구 삼양로173길 504 우이동
L0188,보광사 보광선원서울,02-993-3808,사찰,A01,서울특별시 강북구 삼양로145길 177 우이동
L0189,북한산국립공원도봉 지구,NULL,국립공원,I12,경기 의정부시 망월로
L0190,삼각산,02-901-6926,산,A01,서울 강북구 우이동 | 도봉구| 성북구| 종로구| 경기 고양시 덕양구 일원
L0191,신검사서울,02-992-8288,사찰,A01,서울특별시 강북구 삼양로179길 209-44 우이동
L0192,용덕사서울,02-993-1767,사찰,A01,서울특별시 강북구 우이동 산68 우이동
L0193,우이동 먹거리마을,NULL,유원지,A01,서울특별시 강북구 삼양로181길 101 우이동| 우이공원유원지 일대
L0194,우이동계곡,02-997-8365,계곡,A01,서울 강북구 우이동 일대
L0195,국립4.19민주묘지,NULL,유적지,A01,서울특별시 강북구 4.19로8길 17 수유동
L0196,구암공원,02-2600-4186,공원,A01,서울특별시 강서구 허준로5길 42 가양동
L0197,서울 양천고성지,02-2600-6077,성,A01,서울 강서구 가양동 산 6-4외 5필지
L0198,양천향교,NULL,유적지,A01,서울특별시 강서구 양천로47나길 53 가양동
L0199,강서습지생태공원,2378006213,자연생태관광지,A01,서울시 강서구 양천로27길 279-23
L0200,미타사강서,02-2662-4736,사찰,A01,서울특별시 강서구 개화동로13길 56-33 개화동
L0201,약사사서울,NULL,사찰,A01,서울특별시 강서구 금낭화로17길 261 개화동
L0202,호국충혼위령비,02-2125-0848,기념탑/전망대,A01,서울특별시 강서구 개화동로13길 56-33 개화동
L0203,가덕도 등대,051-9704-0746,등대,B01,부산광역시 강서구 가덕해안로 1237 대항동
L0204,대항어촌체험마을,051-972-2516,농.산.어촌 체험,B01,부산광역시 강서구 가덕해안로1207번길 9-2 대항동
L0205,청량사부산,051-271-2774,사찰,B01,부산광역시 강서구 제도로 29 명지동
L0206,방화대교,02-2600-6114,다리/대교,A01,서울 강서구 방화동 ~경기도 고양시 강매동
L0207,르노삼성자동차 부산공장,051-979-9999,자동차,B01,부산광역시 강서구 르노삼성대로 61 신호동
L0209,강진영랑생가,061-430-3185,생가,N13,전라남도 강진군 강진읍 영랑생가길 15 강진읍
L0210,강진향교,061-430-3324,유적지,N13,전라남도 강진군 강진읍 향교로 140
L0211,고성사강진,061-434-3710,사찰,N13,전라남도 강진군 강진읍 고성길 260 강진읍
L0212,금강사강진,061-430-3324,유적지,N13,전라남도 강진군 강진읍 효자길 38-24 강진읍
L0213,남강서원,061-430-3324,유적지,N13,전라남도 강진군 강진읍 향교로 128-2 강진읍
L0214,보은산,061-430-3297,산,N13,전남 강진군 강진읍 동성리 ~군동면 파산리
L0215,옥련사강진,061-434-2296,사찰,N13,전라남도 강진군 강진읍 덕남리 산7 강진읍
L0216,강덕사,NULL,유적지,N13,전라남도 강진군 군동면 호라길 199-39 군동면
L0217,강진 금곡사 삼층석탑,061-430-5583,유적지,N13,전라남도 강진군 군동면 까치내로 261-21 군동면
L0218,금곡사강진,061-433-3407,사찰,N13,전라남도 강진군 군동면 까치내로 261-21 군동면
L0219,금산원,061-430-3324,유적지,N13,전라남도 강진군 군동면 동관덕길 81 군동면
L0220,명곡서원,061-430-3324,유적지,N13,전라남도 강진군 군동면 신기길 63 군동면
L0221,화방사강진,061-433-2220,사찰,N13,전라남도 강진군 군동면 금천로 328-103 군동면
L0222,강진 고려청자 요지,061-430-3755,민속마을,N13,전남 강진군 대구면 일대
L0223,강진 백사어촌체험마을,061-433-2040,농.산.어촌 체험,N13,전라남도 강진군 대구면 청자해안길 253 대구면
L0224,여계산,061-430-3297,산,N13,전라남도 강진군 대구면 사당리
L0225,정수사강진,061-430-3114,사찰,N13,전라남도 강진군 대구면 정수사길 403 대구면
L0226,천태산,061-430-3295,산,N13,전라남도 강진군 대구면 용운리
L0227,하저어촌체험마을,061-432-7967,농.산.어촌 체험,N13,전라남도 강진군 대구면 저두바닷길 19 대구면
L0228,가우도,061-430-3342,섬,N13,전라남도 강진군 도암면 월곶로 473 도암면
L0229,강진 백련사 동백나무 숲,061-430-3312,자연생태관광지,N13,전라남도 강진군 도암면 백련사길 125 도암면
L0230,다산초당다산 정약용 유적지,061-430-3312,유적지,N13,전라남도 강진군 도암면 다산초당길 68-35 도암면
L0231,덕룡산,061-430-3295,산,N13,전라남도 강진군 도암면 봉황리 ~ 신전면 수양리
L0232,만덕산,061-430-3295,산,N13,전라남도 강진군 강진읍 덕남리 ~도암면 석문리
L0233,백련사강진,061-432-0837,사찰,N13,전라남도 강진군 도암면 백련사길 145 도암면
L0234,해남윤씨 영모당,061-430-3324,유적지,N13,전라남도 강진군 도암면 해강로 577-36 도암면
L0235,해남윤씨 추원당,061-430-3324,유적지,N13,전라남도 강진군 도암면 강성길 77 도암면
L0236,강진 서중어촌체험마을,061-433-8525,농.산.어촌 체험,N13,전남 강진군 마량면 까막섬로 75-7
L0237,강진마도진만호성지,061-430-3321,성,N13,전라남도 강진군 마량면 마량리 988-5
L0238,마량미항마량항,061-430-3265,항구/포구,N13,전라남도 강진군 마량면 마량리 987
L0239,봉대산,061-430-3295,산,N13,전라남도 강진군 강진읍 덕남리 ~도암면 석문리
L0240,강진 병영마을 옛 담장,061-430-5583,유적지,N13,전라남도 강진군 병영면 한골목길 일원
L0241,강진 삼인리 비자나무,061-430-5583,유적지,N13,전라남도 강진군 병영면 삼인리 376
L0242,강진 전라병영성,061-430-5583,유적지,N13,전라남도 강진군 병영면 병영성로 175 병영면
L0243,도룡마을,NULL,농.산.어촌 체험,N13,전남 강진군 병영면 도룡리
L0244,병영성홍교,061-430-5583,유적지,N13,전라남도 강진군 병영면 성동리 323-3
L0245,수인산과 수인산성,061-430-3295,산,N13,전라남도 강진군 병영면 | 장흥군 유치면
L0246,하멜 체류지와 강진 성동리 은행나무,061-430-3187,유적지,N13,전라남도 강진군 병영면 성동리 70
L0247,강진 월남사지 삼층석탑,NULL,유적지,N13,전라남도 강진군 성전면 월남1길 100 성전면
L0248,강진 월남사지 진각국사비,NULL,유적지,N13,전라남도 강진군 성전면 월남1길 106-1 성전면
L0249,강진 청자골달마지마을,061-432-2475,농.산.어촌 체험,N13,전라남도 강진군 성전면 대월달마지길 111
L0250,금릉경포대,NULL,계곡,N13,전라남도 강진군 성전면 백운로 148-9 성전면
L0251,무위사,061-432-4974,사찰,N13,전라남도 강진군 성전면 무위사로 308
L0252,수암서원,061-430-3324,유적지,N13,전라남도 강진군 성전면 동령길 51 성전면
L0253,월남사지,061-430-3324,유적지,N13,전라남도 강진군 성전면 월남1길 100 성전면
L0254,전남 강진다원,061-432-5500,관광농원,N13,전라남도 강진군 성전면 백운로 93-25 성전면
L0255,강진 갯들소리마을,061-430-5623,농.산.어촌 체험,N13,전남 강진군 신전면 벌정리
L0256,강진만,061-430-3313,항구/포구,N13,전라남도 강진군 신전면 벌정리
L0257,주작산,061-430-3297,산,N13,전라남도 강진군 신전면 수양리 신전면
L0258,주작산자연휴양림,061-4303-3067,자연휴양림,N13,전라남도 강진군 신전면 주작산길 398 신전면
L0259,옴천사강진,061-433-2233,사찰,N13,전라남도 강진군 옴천면 장강로 1445-14 옴천면
L0260,주봉서원,061-430-3324,유적지,N13,전라남도 강진군 옴천면 장강로 1785-3 옴천면
L0261,청자골엄지마을,061-434-0770,농.산.어촌 체험,N13,전라남도 강진군 옴천면 영산리
L0262,군자서원,061-430-3324,유적지,N13,전라남도 강진군 작천면 행정길 65-1 작천면
L0263,박산서원,061-430-3324,유적지,N13,전라남도 강진군 작천면 박산죽현길 107-56 작천면
L0264,갑곶돈대,032-9307-0767,유적지,D01,인천광역시 강화군 강화읍 해안동로 1366번길 18
L0265,강화 갑곶리 탱자나무,032-930-3628,희귀동.식물,D01,인천광역시 강화군 강화읍 동문로 119 강화읍
L0266,강화 석수문,032-930-4336,문,D01,인천 강화군 강화읍 신문1리 685-1국화리883
L0267,강화 홍릉,032-930-3627,유적지,D01,인천 강화군 강화읍 국화리 산180번지
L0268,강화도,032-932-5464,섬,D01,인천 강화군 강화읍
L0269,강화산성,NULL,성,D01,인천 강화군 강화읍 국화리 산3번지 | 국화리| 신문리| 관청리| 남산리
L0270,강화유수부동헌,032-930-3627,유적지,D01,인천광역시 강화군 강화읍 북문길 42
L0271,강화유수부이방청,032-930-3627,유적지,D01,인천광역시 강화군 강화읍 북문길 42
L0272,강화전적지,NULL,유적지,D01,인천 강화군 강화읍 갑곳리 갑곶리
L0273,강화향교,NULL,유적지,D01,인천광역시 강화군 강화읍 향교길 58
L0274,고려궁지,032-9307-0789,유적지,D01,인천광역시 강화군 강화읍 북문길 42 강화읍
L0275,고려산,032-930-3468,산,D01,인천 강화군 강화읍 | 내가면| 하점면| 송해면 일원
L0276,김상용순절비,032-930-3627,유적지,D01,인천광역시 강화군 강화읍 강화대로 416
L0277,대한성공회 강화성당,032-930-3627,종교성지,D01,인천광역시 강화군 강화읍 관청길27번길 10
L0278,연무당 옛터,032-932-5464,유적지,D01,인천 강화군 강화읍
L0279,연미정,032-930-3627,유적지,D01,인천광역시 강화군 강화읍 월곳리 242
L0280,오읍약수터,NULL,약수터,D01,인천광역시 강화군 대산리 산129-1
L0281,용흥궁,032-930-3033,고택,D01,인천광역시 강화군 강화읍 동문안길21번길 16-1
L0282,이섭정,032-934-2183,유적지,D01,인천광역시 강화군 강화읍 갑곳리 1020
