주관기관,전화번호,홈페이지주소
(재)밀양문화재단,055-359-4521,http://arirang.or.kr/xe/main
(재)백제문화제추진위원회,041-830-2211,http://www.baekje.org/html/kr/
(재)보령축제관광재단,041-930-0891,www.mudfestival.or.kr
(재)보령축제관광재단,041-930-0891,http://www.mudfestival.or.kr
(재)보령축제관광재단,041-930-0891,http://www.mudfestival.or.kr
(재)부산문화재단,051-600-4085,http://www.bsjunggu.go.kr/tour/index.junggu?menuCd=DOM_000000203003000000
(재)사천문화재단,055-835-6492,www.sccf.or.kr
(재)수성문화재단,053-666-2162,http://suseong.kr
(재)수성문화재단,053-666-2163,http://www.ssfestival.net/
(재)수원문화재단,031-228-2415,http://www.swcf.or.kr/shcf/
(재)수원문화재단,031-290-3532,NULL
(재)아산문화재단,041-540-2550,http://showtimehall.co.kr/dcf/
(재)아산문화재단,041-540-2550,http://culture.asan.go.kr/_sinjungho/
(재)아산문화재단,041-540-2550,http://culture.asan.go.kr/_ginko/
(재)아산문화재단,041-534-2140,culture.asan.go.kr
(재)아산문화재단,041-540-2550,http://culture.asan.go.kr/_esunshin/2017/index.asp
(재)안양문화예술재단,031-687-0500,http://www.ayac.or.kr
(재)안양문화예술재단,031-687-0500,http://www.ayac.or.kr
(재)안양문화예술재단,031-687-0500,http://www.ayac.or.kr
(재)안양문화예술재단,031-687-0500,http://www.ayac.or.kr
(재)영양축제관광재단,054-680-6411,yftf.kr
(재)오산문화재단,031-379-9923,http://www.doksanseong.kr
(재)오산문화재단,031-379-9924,https://www.wheel2.kr
(재)원주문화재단,033-763-9114,http://www.ddcwj.com/
(재)의정부시평생학습원,031-826-9973,https://www.ui4u.go.kr
(재)인제군문화재단,033-460-8971,http://www.injefestival.co.kr/
(재)임실치즈테마파크,063-643-2300,www.cheesepark.kr
(재)정선아리랑문화재단,033-560-3010,http://icefestival.kr/
(재)제천문화재단,043-641-4870,www.jcac.or.kr
(재)제천문화재단,043-641-4870,www.jcac.or.kr
(재)제천문화재단,043-641-4870,www.jcac.or.kr
(재)춘천인형극제,033-242-8452,http://cocobau.com/
(재)충남문화산업진흥원,041-415-0096,NULL
(재)충남문화산업진흥원041-415-0096,NULL,NULL
(재)충주중원문화재단,043-850-7981,cjlake.kr
(재)한산대첩기념사업회,055-644-5222,http://www.hansanf.org
(주)SK에너지,052-229-3342,http://ulsanrosefestival.com/
(주)네이처농업회사법인,NULL,NULL
(주)아트플레쉬,064-784-9030,https://www.jejulaf.com/
(주)워터웨이플러스,031-980-2488,NULL
2018여수동동북축제추진위원회,061-659-1588,http://tour.yeosu.go.kr/dongdong
4.19혁명 국민문화제위원회,02-901-6206,www.festival419.org
BIAF 집행위원회,NULL,http://www.biaf.or.kr
BIFF조직위원회,1688-3010,http://www.biff.kr
CJ E&M,1566-2226,http://valleyrockfestival.mnet.com/
DIBF 조직위원회,053-803-3881,http://dibf.co.kr/
JK커뮤니케이션,041-840-8069,NULL
KBS춘천방송총국,033-254-0906,http://program.kbs.co.kr/1tv/local/allthatmusic/pc/
KCTV제주방송,NULL,NULL
KNN,070-4275-0503,http://www.knn.co.kr
SBS A&T,055-930-3752,NULL
UBC 울산방송,052-290-3654,NULL
가나엔터프라이즈,062-613-2722,http://2016wyf.com
가천마을회,NULL,http://tour.namhae.go.kr/main.web
가파도청보리축제위원회,064-794-7130,NULL
가파리마을회,064-760-4085,www.i70ni.com
간월도어리굴젓수산물한마당추진위원회,041-660-2069,http://www.seosan.go.kr/tour
간월도어리굴젓수산물한마당추진위원회,NULL,NULL
갈비중식일식축제협의회 외식업지부,031-228-2233,NULL
갈비중식일식축제협의회 외식업지부,031-228-2233,NULL
감물면 축제추진위원회,043-830-2433,NULL
갑사번영회,041-840-8093,NULL
강경젓갈축제추진위원회,041-746-5663,http://www.nonsan.go.kr/ggfestival/
강남구,02-3423-5534,http://festival.gangnam.kr/
강남구,02-3423-5535,www.facebook.com/2019KMF/
강남구,02-3423-5535,http://www.gangnam.go.kr/board/article/2425/view.do?mid=FM0503&pgno=1&keyfield=bdm_main_title&keyword=야외시네마&schArticle=ARTICLE_03
강남구,02-3423-5535,https://www.gangnamfilm.com/
강남문화재단,02-6712-0512,www.gfac.kr
강동구청,02-3425-5246,http://culture.gangdong.go.kr
강릉문화재단,033-647-6802,http://www.coffeefestival.net/
강서문화원,02-2600-6455,www.heojunfestival.com
강서문화원,02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp
강서문화원,02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp
강서문화원,02-2600-6455,http://www.gangseo.seoul.kr/site/munhwa/index.jsp
강원도 태백시,033-550-2085,http://festival.taebaek.go.kr/snow/
강원도 태백시,033-550-2085,http://festival.taebaek.go.kr/summer/
강원도음악협회,033-244-8844,http://www.makkw.or.kr
강원도청소년수련원,033-240-2310,http://kcmf.or.kr/comc/gangwon/
강원시청자미디어센터,033-240-2310,http://kcmf.or.kr/comc/gangwon/
강진군 향토축제추진위원회,061-430-3354,http://www.gangjin.go.kr/culture/
강진군향토축제추진위원회,061-430-3352,http://www.gangjin.go.kr/culture/
강진군향토축제추진위원회,061-430-3354,http://www.gangjin.go.kr/culture/
강화군문화축제추진위원회,032-930-3623,http://www.ganghwa.go.kr/open_content/festival/
개천예술제 제전위원회,055-752-0111,http://www.gaecheonart.com
거문도백도은빛바다축제추진위원회,061-659-4744,http://www.ystour.kr/kr/festival/
거제대구수산물축제추진위원회,055-639-4273,NULL
거제도국제펭귄수영축제위원회,055-639-6861,NULL
거제맥주축제추진위원회,055-639-3373,NULL
거제맹종죽영농조합법인,055-639-6353,NULL
거제문화예술회관,055-680-1000,NULL
거창크리스마스트리문화축제위원회,055-942-4992,www.gcctf.co.kr
겨울공주 군밤축제추진위원회,041-840-8090,NULL
겨울공주 군밤축제추진위원회,041-840-8093,NULL
경기관광공사,031-980-2489,http://dmz.ggtour.or.kr/index.php
경기관광공사,031-860-2627,http://www.ddc.go.kr
경기도 광주시청,031-760-2913,https://www.gjcity.go.kr
경기도 군포문화재단,031-390-3515,http://www.gunpofestival.org/
경기도 시흥시,031-310-6268,www.culturesiheung.com
경기도 의정부시청,031-828-2933,NULL
경기도 의정부시청,031-828-2932,NULL
경기동부인삼농협,031-645-3094,http://www.kginsam.nonghyup.com
경산갓바위축제추진위원회,053-851-0022,NULL
경산자인단오제보존회,053-856-5765,NULL
경상남도 거제시 남부면,055-639-6531,NULL
경상남도 거제시 농업개발과,055-639-6443,NULL
경상남도 거제시 동부면,055-639-6511,NULL
경상남도 거제시 둔덕면번영회,055-639-6592,NULL
경상북도 영덕군청,054-730-6586,www.yd.go.kr
경상북도 영덕군청,054-730-6092,www.yd.go.kr
경상북도 칠곡군,054-979-6433,http://www.chilgokmpf.com/www/main
경상북도 칠곡군,054-979-6100,www.nakdongriverpeacefestival.or.kr
경상북도 칠곡군,054-979-6100,www.nakdongriverpeacefestival.or.kr
경상일보,052-226-5415,NULL
경인일보,031-687-0500,http://www.ayac.or.kr
경인일보,031-687-0500,http://www.ayac.or.kr
경주세계차문화축제조직위원회,NULL,NULL
계룡산산신제보존회,041-840-8093,NULL
계룡산축제추진위원회,041-840-8093,NULL
계양구,032-450-5874,NULL
고등동,NULL,NULL
고래문화재단,052-226-1991,http://www.ulsanwhale.com
고산농악보존회,053-666-2172,http://suseong.kr
고서포도축제추진위원회,061-380-3152,NULL
고성문화원,NULL,NULL
고성통일명태축제위원회,033-682-8008,http://myeongtae.com
고싸움놀이보존회,062-607-2315,http://www.gossaum.com
고싸움놀이보존회,062-607-2315,http://www.gossaum.com
고양문화재단,031-960-9683,http://www.hjfestival.or.kr
고양문화재단,02-337-9966,http://www.artgy.or.kr/PF/PF0201V.aspx?showid=0000005461
고양문화재단,031-960-9682,http://www.gylaf.kr
고양시불교사암연합회,031-969-0108,NULL
고양어린이박물관,031-839-0300,http://goyangcm.or.kr/program/Special_event/index.asp?no=13&mode=view&IDX=1997&p=1
고창갯벌축제위원회,063-560-2633,http://mudexp.gochang.go.kr
고창복분자와수박축제위원회,NULL,www.goboksu.co.kr
고창청보리밭축제위윈회,063-562-9897,www.gochang.go.kr/chungbori/
고창해풍고추축제위원회,NULL,www.gochang.go.kr/seawindgochu
고흥축제추진위원회,061-830-5305,http://festival.goheung.go.kr
곰소젓갈발효축제추진위원회,063-580-4778,NULL
곰취축제집행위원회,033-480-2230,http://ygfestival.kr/
공모 선정,053-663-2181,http://www.dgs.go.kr/tour/
공모사업 선정,061-659-4744,http://tour.yeosu.go.kr/dongdong
공주 금강여름축제조직위원회,041-840-2056,NULL
공주경비행기,041-840-8093,NULL
공주석장리구석기축제조직위원회,041-840-8112,NULL
공주시백제문화선양위원회,041-840-8069,NULL
공주시백제문화선양위원회,041-840-8069,NULL
관악구,02-879-5603,http://www.gwanak.go.kr/html/gang/sub/sub.html
관평동마을축제추진위원회,042-601-6895,NULL
광명6동주민자치위원회 및 유관단체,02-2680-6672,NULL
광명문화원,02-2680-6223,www.gmcc.or.kr/
광명시평생학습네트워크협의체,02-2680-6200,http://lll.gm.go.kr/site/festival
광산구건강가정·다문화가족지원센터,NULL,NULL
광산우리밀축제추진위원회,062-960-8493,http://www.gswoorimil.kr
광양매화축제추진위원회,061-797-2721,http://www.gwangyang.go.kr/tour_culture
광양숯불구이축제추진위원회,061-797-4903,http://www.gwangyang.go.kr/tour_culture
광양전어축제추진위원회,061-797-3679,http://www.gwangyang.go.kr/tour_culture
광주광역시 동구,062-608-2422,http://www.donggu.kr/index.es?sid=c8
광주광역시 서구,062-360-7551,www.seogu.gwangju.kr
광주광역시 서구,062-360-7186,www.seogu.gwangju.kr
광주광역시 서구,062-360-7030,www.seogu.gwangju.kr
광주광역시 서구,062-360-7234,www.seogu.gwangju.kr
광주광역시 서구,062-360-7551,www.seogu.gwangju.kr
광주광역시 서구 문화원,062-681-4174,www.seogu.gwangju.kr
광주세계김치축제위원회,062-613-3991,http://kimchi.gwangju.go.kr
광주세계김치축제위원회,062-613-3991,http://kimchi.gwangju.go.kr
광주세계김치축제위원회,062-613-3991,http://kimchi.gwangju.go.kr
광주시 남한산성문화제 추진위원회,031-760-2726,https://www.gjcity.go.kr
광천토굴새우젓광천김대축제추진위원회,041-630-1227,http://www.hsfestival.co.kr/html/s5_3.html
괴산군유기농업인연합회,043-830-3174,https://www.goesan.go.kr.
괴산축제위원회,043-830-3463,http//festival.go.kr
괴산축제위원회,043-830-3462,https://www.goesan.go.kr/festival.
괴산축제위원회,043-830-3462,https://www.goesan.go.kr/festival.
구로구,02-860-2060,www.guro.go.kr
구미시 해평면 도리사,054-474-3737,http://www.dorisa.or.kr/
구즉한마당축제추진위원회,042-601-6835,NULL
국제모래조각 페스티벌 추진위원회,NULL,NULL
군산시간여행축제추진위원회,063-454-3302,http://festival.gunsan.go.kr/
굿모닝 양림추진위원회,062-607-2312,http://www.goodmorningyangrim.com/
금능원담축제추진위원회,NULL,NULL
금산천봄꽃축제추진위원회,041-750-8103,https://www.geumsan.go.kr/town_01/
금산축제관광재단,041-750-4144,http://tour.geumsan.go.kr/
금산축제관광재단,041-750-2411,http://www.insamfestival.co.kr/
금산축제관광재단,041-750-4144,http://www.insamfestival.co.kr/
금산축제관광재단,041-750-4144,http://tour.geumsan.go.kr/
금정문화재단,051-519-4062,http://festival.geumjeong.go.kr
금천구,02-2627-1452,http://www.kingjeongjoparade.kr/
금천하모니벚꽃축제거버넌스,02-2627-1445,https://gcfac.or.kr/content?gcfac_menu_cd=U0107
기산국악제전위원회,055-970-6401,http://www.sancheong.go.kr
기지시줄다리기 축제위원회,041-355-8118,http://www.gijisi.com
김천국제가족연극제추진위원회 영남일보,054-435-8279,www.gitf.co.kr
김천문화원,054-434-4336,www.gcculture.or.kr
김천시자두포도축제추진위원회,054-421-2602,www.gcjadu.com
김포문화재단,031-980-2488,NULL
김포시,031-980-2489,http://www.dmztrailrun.com/media/
김해시,055-330-6681,https://lib.gimhae.go.kr/00038/00039.web
나주마한문화축제추진위원회,061-339-8722,http://www.naju.go.kr/tour/
낙동강세계평화문화대축전 추진위원회,054-979-6100,www.nakdongriverpeacefestival.or.kr/
낙동강세계평화문화대축전 추진위원회,054-979-6100,www.nakdongriverpeacefestival.or.kr/
낙동강세계평화문화대축전 추진위원회,054-979-6100,www.nakdongriverpeacefestival.or.kr
남구문화원,062-607-2315,http://www.goodmorningyangrim.com/
남구문화행사추진원회,053-664-3262,NULL
남구문화행사추진원회,053-664-3262,NULL
남당항 축제추진위원회,041-630-1227,http://www.hsfestival.co.kr/html/s5_1.html
남당항 축제추진위원회,041-630-1227,http://www.hsfestival.co.kr/html/s5_2.html
남당항축제추진위원회,041-630-1227,NULL
남당항축제추진위원회,041-630-1227,NULL
남동구,032-453-2142,www.namdong.go.kr/soraefestival
남면사회단체협의회,031-867-5683,NULL
남명선비문화축제집행위원회,055-970-6401,http://www.sancheong.go.kr
남산동자동차골목상점가상인회,053-661-3014,NULL
남양주시,031-590-4928,NULL
남원읍 축제위원회,064-760-4182,http://www.jejugosari.net/
남원읍축제위원회,064-760-4182,www.jejugosari.net
남일면홍도화축제추진위원회,041-750-8506,http://www.geumsan.go.kr/town_06/
남한강축제위원회,033-737-5630,NULL
노원문화원,NULL,NULL
노원문화원/조선왕릉문화벨트 콘텐츠활용사업추진단,02-2116-3774,NULL
노원탈축제추진위원회,NULL,NULL
노은1·2동 한마음축제추진위원회,042-601-6745,NULL
노은3동 한마음축제추진위원회,042-601-6944,NULL
논산딸기축제추진위원회,041-746-8386,http://www.nonsan.go.kr/nsfestival
농다리축제추진위원회,043-533-2744,http://www.jincheon.go.kr
농악보존회,02-899-1664,NULL
농업회사법인 오라,NULL,NULL
단양마늘축제추진위원회,NULL,http://www.dy21.net
단양문화원,043-420-2552,www.danyang.go.kr/twin
달서구,053-667-3212,http://www.dalseo.daegu.kr/
달서구문화원,053-667-2174,http://www.dalseo.daegu.kr
달서구청소년수련관,053-667-3222,NULL
달성문화원,053-668-2172,http://culture.dalseong.daegu.kr
달성소싸움협회,053-668-2192,NULL
달성토성마을골목축제 조직위원회,053-663-2181,http://www.dgs.go.kr/tour/
담양가로수사랑군민연대,061-380-3152,NULL
담양산타축제추진위원회,061-380-3152,NULL
당진수산업협동조합,041-350-4271,http://tour.dangjin.go.kr
당항포대첩축제위원회,055-670-4505,http://dhp.goseong.go.kr/index.goseong
대관령면축제위원회,033-335-3995,http://www.snowfestival.net
대구광역시 달서구여성단체협의회,053-667-3514,http://www.dalseo.daegu.kr
대구광역시 동구청,053-662-2173,http://www.dong.daegu.kr
대구광역시 수제화협회,053-661-2046,NULL
대구광역시 수제화협회,053-661-2046,NULL
대구광역시 수제화협회,053-661-2046,NULL
대구광역시 중구,053-661-2195,NULL
대구광역시 중구,053-661-2195,NULL
대구광역시동구문화재단,053-230-3310,http://www.dgdgcf.or.kr/
대구국제재즈축제조직위원회,053-1544-1850,http://www.dijf.or.kr
대구문화방송㈜,053-661-2177,NULL
대구영상미디어센터,052-960-7035,http://kcmf.or.kr/comc/ulsan/
대구예술대학교,054-971-2543,www.chilgokmpf.com
대구치맥페스티벌조직위원회,053-248-9998,http://chimacfestival.com
대구호러공연예술제조직위원회,053-628-7463,http://cafe.daum.net/dghr
대구화교협회,053-661-2177,NULL
대금산진달래축제추진위원회,055-639-6721,NULL
대덕문화원,042-608-6574,NULL
대봉문화마을협의회,053-661-2173,NULL
대부포도축제추진위원회,031-481-2317,NULL
대야문화제전위원회,055-930-3915,NULL
대전광역시 동구청,042-251-6685,http://www.donggu.go.kr
대전충남민주언론시민연합,042-865-3700,http://kcmf.or.kr/comc/daejeon/
대전효문화뿌리축제위원회,042-606-6293,http://www.djjunggu.go.kr
대한불교 조계종 도리사,054-474-3737,http://www.dorisa.or.kr/
대한불교 조계종 보천사,054-475-3581,http://www.bocheonsa.com/
덕수리민속보존회,064-760-4314,www.i70ni.com
도두1동마을회,064-712-4567,NULL
도솔산전적문화제 집행위원회,033-480-2230,http://ygfestival.kr/
동.서부 추진본부 및 각 주관부서,055-536-0031,NULL
동대문문화재단,02-3295-5561,NULL
동래읍성역사축제추진위원회,051-550-4092,http://festival.dongnae.go.kr
동삼어촌계 풍어제추진위원회,051-405-0204,http://www.yeongdo.go.kr/main.web
동작가족한마음축제 추진위원회,02-820-1321,NULL
동작구 교육정책과,02-820-9360,동작구통합도서관(http://lib.dongjak.go.kr)
동작구지역사회보장협의체·축제추진위원회,02-820-9536,NULL
동작구축제추진위원회,02-823-9330,www.dof.or.kr(미개통)
동학농민혁명무장기포기념제,063-560-2461,http://donghak.gochang.go.kr
동해문화원,033-530-2111,http://www.dh.go.kr/tour/sub.htm?nav_code=tou1497764548
둔내고랭지토마토축제위원회,033-340-2704,NULL
둔율올갱이마을 영농조합법인,043-830-3903,NULL
땅끝매화축체추진위원회,061-531-3512,www.haenam.go.kr
럭엑스런,031-860-2209,http://www.korea50k.com
마곡사상인연합회,041-840-8093,NULL
마곡사신록축제추진위원회,041-840-8093,NULL
마곡사신록축제추진위원회,041-840-8093,NULL
마산가고파국화축제위원회,NULL,NULL
마산예총,NULL,NULL
마산예총,NULL,NULL
만드리보존회,062-360-7030,NULL
만세보령문화제추진위원회,041-930-3412,http://www.brcn.go.kr
매일신문사,054-380-6065,NULL
몽산포항 주꾸미&수산물 축제위원회,NULL,NULL
무등커뮤니케이션,062-360-7186,sgfesta.com
무안군,061-450-5472,http://tour.muan.go.kr/
무안군,061-450-5472,http://tour.muan.go.kr/
무의도아트센터,NULL,NULL
무창포신비의바닷길축제추진위원회,041-930-6561,www.muchangpo.or.kr
무창포신비의바닷길축제추진위원회,041-930-4512,www.moochangpo.com
문경사과축제추진위원회,054-571-7677,http://www.mgapple.or.kr/
문경약돌한우축제추진위원회,054-571-7677,http://mghanwoo.or.kr/
문경오미자축제추진위원회,054-571-7677,http://www.mg5mija.or.kr/
문경찻사발축제추진위원회,054-550-6395,http://www.sabal21.com
문화기업 더스타일,053-661-2177,NULL
문화의거리 현대미술제 울산운영위원회,052-290-3666,NULL
문화체육관광부,1577-2296,NULL
물페기농요보존회,041-750-2411,http://tour.geumsan.go.kr/
민둥산억새꽃축제추진위원회,1544-9053,NULL
민주평화통일자문회의중구지회,053-661-2631,NULL
밤일음식문화거리 상가번영회,02-2680-5484,NULL
방선문축제위원회,064-728-4802,NULL
방천골목오페라추진위원회,053-661-2177,NULL
배꼽축제집행위원회,033-480-2230,http://ygfestival.kr/
배내골주민위원회,055-364-7778,http://tour.yangsan.go.kr/
배내골주민위원회,055-364-7778,http://tour.yangsan.go.kr/
백마권역영농조합법인,043-836-9911,NULL
백아면 청년회,061-379-5107,NULL
백운산국사봉철쭉축제추진위원회,061-797-4233,http://www.gwangyang.go.kr/tour_culture
백제문화선양위원회,041-840-8090,NULL
벌곡면주민자치회,041-746-8762,NULL
벌교꼬막축제추진위원회,061-857-7676,http://cockle.boseong.go.kr/index.boseong
벗꽃축제추진위,02-2620-4130,http://www.yangcheon.go.kr
보곡산골마을회,041-750-2411,http://tour.geumsan.go.kr/
보목어촌계 · 보목동청년회,064-733-3508,NULL
보목자리돔축제위원회,064-760-4502,www.i70ni.com
보성군,061-850-5211,http://light.boseong.go.kr/index.boseong
보성다향대축제추진위원회,061-850-5212,http://dahyang.boseong.go.kr/index.boseong
보성문화원,061-850-5202,http://sori.boseong.go.kr/index.boseong
보성벚꽃축제추진위원회,061-850-8283,http://festival.boseong.go.kr/index.boseong
보성전어축제추진위원회,061-850-8395,http://shad.boseong.go.kr/index.boseong
보수동 책방골목 번영회,051-253-7220,http://www.bosubook.com/
보은군축제추진위원회,043-540-3392,http://www.tourboeun.go.kr/prog/tursmCn/tour/sub02_01_01/view.do?cntno=29(보은군 관광홈페이지)
보은문화원,043-540-3754,http://www.tourboeun.go.kr/prog/tursmCn/tour/sub02_01_01/view.do?cntno=29(보은군 관광홈페이지)
보은문화원,043-540-3754,http://janghwan.boeun.go.kr/
보조사업 공고 후 선정[2018년 (주)영남일보 주관],NULL,NULL
봉래산발복기원제추진위원회,051-419-4064,http://www.yeongdo.go.kr/main.web
봉산문화협회,053-661-2177,NULL
봉산문화협회,053-661-2177,NULL
봉숫골벚꽃축제위원장,055-650-3851,NULL
봉황기획,041-840-8069,NULL
봉황기획,041-840-8069,NULL
봉황청년회,055-570-2513,http://www.uiryeong.go.kr/tour/index.uiryeong
부산광역시 강서구,051-970-4062,http://festival.bsgangseo.go.kr
부산광역시 금정구,051-519-4422,NULL
부산광역시 남구,NULL,NULL
부산광역시 부산진구청,051-605-4064,http://tour.busanjin.go.kr
부산광역시 부산진구청,051-605-4872,http://tour.busanjin.go.kr
부산광역시 부산진구청,051-605-6021,http://tour.busanjin.go.kr
부산광역시 부산진구청,051-605-4522,http://tour.busanjin.go.kr
부산국제매직페스티벌조직위원회,051-626-7002,http://blog.naver.com/bimf7002
부산문화재단,051-888-5091,http://tongsinsa.com/html/
부산일보,051-888-5054,http://bear.busan.com/ko/
부산일보사,051-461-4297,http://bear.busan.com
부산중구불교연합회,051-253-8686,NULL
부산중구청,051-600-4066,NULL
부산차이나타운축제추진위원회,051-440-4062,http://tour.bsdonggu.go.kr/
부안마실축제제전위원회,063-580-4778,http://www.buanmasil.com/
부여서동연꽃축제추진위원회,041-830-2211,www.부여서동연꽃축제.kr
부천국제만화축제운영위원회,032-310-3071,http://www.bicof.com
부평구축제위원회,032-509-7516,www.bpf.or.kr
북구청 문화예술과,NULL,NULL
북구청 문화예술과,NULL,NULL
북구청 문화예술과,NULL,NULL
북면위례벚꽃축제추진위원회,041-521-4721,NULL
북면위례벚꽃축제추진위원회041-521-4721,NULL,NULL
북평용줄다리기보존회,061-531-3213,www.haenam.go.kr
분당구청 가정복지과,NULL,NULL
불정면 리우회,043-830-2622,NULL
